O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
4808192,"A1",O,65478.05,1996-06-29,2-HIGH,Clerk#000000473,0,eposits use against the express accounts. carefully regular ideas sleep blithe
454791,"A1",F,74602.81,1992-04-19,1-URGENT,Clerk#000000815,0,uriously ironic deposits wake across the s
4273923,"A1",O,95911.01,1997-03-23,3-MEDIUM,Clerk#000000381,0,ep fluffily along the carefull
579908,"A1",O,54048.26,1996-12-09,5-LOW,Clerk#000000783,0," asymptotes. regular requests boost blithely. pending gifts according to the"
3868359,"A1",F,123076.84,1992-08-22,5-LOW,Clerk#000000536,0,. furiously bold asymptotes are instructions. quickly ironic dep
5133509,"A1",O,174645.94,1996-07-01,1-URGENT,Clerk#000000463,0,al accounts could have to cajole furiously even
1842406,"A2",O,174291.41,1996-08-05,1-URGENT,Clerk#000000521,0,s. excuses lose. pen
1374019,"A2",F,167016.61,1992-04-05,1-URGENT,Clerk#000000440,0,lithe packages. acco
430243,"A2",F,33082.83,1994-12-24,4-NOT SPECIFIED,Clerk#000000121,0,n braids among the final packages cajole pendin
1763205,"A2",F,16495.33,1994-08-28,1-URGENT,Clerk#000000450,0,ven requests. blithely express excuses nag or
1071617,"A2",P,221397.35,1995-03-10,2-HIGH,Clerk#000000408,0,"al, unusual packages. furiously final requests use quickly. f"
3986496,"A2",O,312692.22,1997-02-22,1-URGENT,Clerk#000000768,0,. theodolites nag fluffily above the blithely iron
2992930,"A2",F,103297.68,1994-05-21,4-NOT SPECIFIED,Clerk#000000913,0,owly slyly final platelets. ironic instructions wake carefully unusual plate
4960614,"A4",O,91152.97,1997-10-03,4-NOT SPECIFIED,Clerk#000000706,0,ithely final dependencies cajole blithely. express instructions are slyly a
1953441,"A4",O,235621.83,1996-06-06,2-HIGH,Clerk#000000288,0,iers are. quickly final instructi
164711,"A4",F,311722.87,1992-04-26,3-MEDIUM,Clerk#000000361,0,"accounts among the regular, "
3251169,"A4",O,225294.26,1996-01-06,5-LOW,Clerk#000000310,0,arefully final packages boost against the furiously
1755398,"A4",O,1131.20,1997-06-12,5-LOW,Clerk#000000765,0,s. slyly ironic packa
1192231,"A4",O,143971.54,1996-06-03,1-URGENT,Clerk#000000978,0,osits haggle carefully. carefully final grouches are. blithely si
385825,"A4",O,277493.04,1995-11-01,2-HIGH,Clerk#000000465,0,e even foxes. regularly even instructions boost carefully along
1590469,"A4",O,75928.49,1997-03-07,2-HIGH,Clerk#000000217,0,y pending pinto beans. carefully express theodolites cajole
1978756,"A4",O,314671.82,1996-08-02,3-MEDIUM,Clerk#000000661,0,es. blithely special theodolites cajole slyly carefully regular asymp
2765152,"A4",O,8332.33,1996-08-11,4-NOT SPECIFIED,Clerk#000000618,0,onic packages. slyly express requests
5453440,"A4",O,17938.41,1997-07-12,2-HIGH,Clerk#000000360,0,s sleep idly foxes. final accounts x-ray slyly. slyly even platelets h
1226497,"A4",F,88317.19,1993-10-04,1-URGENT,Clerk#000000154,0,al theodolites. quickly ruthless accounts lose blithely furiously re
2459619,"A4",O,46227.94,1996-01-03,5-LOW,Clerk#000000917,0,iously ironic pinto beans sleep furiously across the quickly unusual notornis.
1944711,"A4",P,104934.65,1995-05-06,1-URGENT,Clerk#000000580,0,deas wake. slyly silent packa
3421092,"A4",O,181618.75,1998-05-16,3-MEDIUM,Clerk#000000762,0,refully even pinto beans. furiously
4320612,"A4",F,182956.01,1992-09-20,2-HIGH,Clerk#000000994,0," silently ironic theodolites are around the r"
2986913,"A4",F,40347.48,1994-06-10,3-MEDIUM,Clerk#000000633,0,", bold accounts use slyly even excuses. pending req"
5612065,"A4",O,71845.26,1997-09-07,3-MEDIUM,Clerk#000000999,0,quests boost fluffily. blithely f
3951331,"A4",O,76100.95,1997-11-23,3-MEDIUM,Clerk#000000341,0,ly express platelets above the carefully
3683623,"A4",O,152929.80,1996-11-29,3-MEDIUM,Clerk#000000652,0,lve. furiously silent fret
2630562,"A5",F,324835.83,1993-06-27,4-NOT SPECIFIED,Clerk#000000966,0,carefully final deposits. quickly silent pains are among the careful
905633,"A5",O,261338.66,1995-07-05,4-NOT SPECIFIED,Clerk#000000254,0,arefully ironic attainments cajole slyly furiou
287619,"A5",O,13620.11,1996-12-26,5-LOW,Clerk#000000854,0,r requests must sleep carefully furiously regular tithes? slyly unusual reque
224167,"A5",O,85170.68,1996-05-08,5-LOW,Clerk#000000657,0,s along the carefully special pinto beans cajole carefully even sentim
1894087,"A7",F,36515.55,1994-02-20,1-URGENT,Clerk#000000343,0," bold, even request"
3318789,"A7",F,249621.82,1992-04-30,3-MEDIUM,Clerk#000000331,0,ly blithely regular deposits. furiously regular accounts s
1959075,"A7",F,192318.07,1994-12-23,1-URGENT,Clerk#000000590,0,long the regular instructions. bli
2943521,"A7",O,31698.35,1998-02-18,1-URGENT,Clerk#000000675,0,kly against the qui
3431909,"A7",O,151988.10,1997-02-04,2-HIGH,Clerk#000000744,0,ose carefully. slyly unusual ins
1485505,"A7",O,286525.11,1998-07-24,1-URGENT,Clerk#000000228,0,posits. final packages wake carefully express ideas. carefully bold deposits a
4328998,"A7",F,322431.85,1992-03-25,4-NOT SPECIFIED,Clerk#000000521,0,nto beans according to the regular accounts cajole per
4860421,"A7",O,190889.91,1995-10-24,5-LOW,Clerk#000000572,0," express pinto beans. requests believe slyly ex"
3995111,"A7",F,140088.51,1994-02-13,3-MEDIUM,Clerk#000000724,0,ts. slyly ironic requests nag blithely. instruct
4163013,"A7",F,80777.53,1993-11-14,3-MEDIUM,Clerk#000000392,0,t slyly. furiously silent packag
135943,"A7",F,314307.46,1993-06-22,4-NOT SPECIFIED,Clerk#000000685,0,ies. blithely pending deposits
3211909,"A7",F,187396.96,1993-06-29,2-HIGH,Clerk#000000918,0," slyly according to the even theodolites. slyly ironic requests nag carefu"
2014848,"A7",O,181378.37,1997-01-19,5-LOW,Clerk#000000333,0,lets use pending accounts. qu
5090183,"A7",O,79104.46,1996-06-10,2-HIGH,Clerk#000000046,0,as. furiously bold requests according to the quickly ironic packages c
2096544,"A7",F,185203.14,1992-04-17,1-URGENT,Clerk#000000964,0,"ts. final, silent theodoli"
3038880,"A7",O,327615.97,1995-09-06,2-HIGH,Clerk#000000458,0,"y careful ideas. final, regular theodolites haggle. quic"
1201223,"A8",O,138984.74,1996-01-13,5-LOW,Clerk#000000287,0,st the carefully final foxes wake carefully according to the
4550145,"A8",O,140300.54,1995-06-13,3-MEDIUM,Clerk#000000554,0,ly fluffy requests. frets affix courts. packages play above the carefully fin
1925447,"A8",O,134464.25,1997-02-19,4-NOT SPECIFIED,Clerk#000000348,0,nts snooze furiously according to the carefully bold ideas. sometimes regular
2415204,"A8",F,184908.92,1994-11-03,5-LOW,Clerk#000000368,0,"inal requests are final, bold dolph"
4208674,"A8",P,158327.78,1995-05-02,3-MEDIUM,Clerk#000000657,0,riously-- final theodolites int
5805349,"A8",O,255145.52,1998-01-01,1-URGENT,Clerk#000000956,0,"ites doze special, express deposits. "
4225824,"A8",O,110757.73,1995-07-21,4-NOT SPECIFIED,Clerk#000000060,0,furiously final packages print slyly express accounts. r
3692388,"A8",O,27557.56,1997-02-11,4-NOT SPECIFIED,Clerk#000000060,0,s packages are slyly around the regula
1073670,"A8",F,76193.83,1994-05-24,4-NOT SPECIFIED,Clerk#000000710,0,ly alongside of the slyly ironic theodolites. accoun
5987111,"A8",F,97765.58,1992-09-03,2-HIGH,Clerk#000000822,0,nding pinto beans. carefully pending packages sleep quickly regular dolphi
4659813,"A8",F,7459.52,1992-07-26,4-NOT SPECIFIED,Clerk#000000133,0,ely regular accounts haggle carefully regular pains. ironi
1859778,"A8",O,263567.37,1998-02-04,3-MEDIUM,Clerk#000000731,0,counts boost slyly. express pinto beans use. furious
5091364,"A8",O,39550.36,1996-11-12,5-LOW,Clerk#000000894,0,mptotes after the slyly final asymptotes nag quickly before the carefully ex
2126688,"A10",F,50998.03,1993-08-15,4-NOT SPECIFIED,Clerk#000000207,0,"r, silent accounts haggle o"
1490087,"A10",O,227526.57,1996-07-10,4-NOT SPECIFIED,Clerk#000000953,0,lly regular deposits. furiously regular instructions thrash
3069221,"A10",O,26861.45,1996-10-29,3-MEDIUM,Clerk#000000005,0,ess requests. carefully si
1774689,"A10",F,13822.61,1993-07-08,3-MEDIUM,Clerk#000000702,0," deposits are fluffily quick"
3942656,"A10",F,327960.68,1992-08-16,3-MEDIUM,Clerk#000000954,0,jole from the slyly bold deposits. quickly expres
3916288,"A10",O,99925.33,1997-07-20,4-NOT SPECIFIED,Clerk#000000272,0,t integrate. carefully regular theodolites sleep c
4141668,"A10",F,168477.12,1995-03-24,1-URGENT,Clerk#000000849,0," dependencies. blithely pending accounts solve carefully furiously ex"
916775,"A10",O,279937.32,1996-04-26,1-URGENT,Clerk#000000032,0,express instructions. quickly unusual accounts cajole-- carefully i
883557,"A10",O,53855.97,1998-03-30,2-HIGH,Clerk#000000758,0,ses are carefully. slyly regular asympto
4616224,"A10",O,21631.76,1997-01-22,5-LOW,Clerk#000000818,0,into beans haggle c
4407621,"A10",O,93717.95,1995-09-26,5-LOW,Clerk#000000354,0,ly pending notornis sleep furiously about the i
4243142,"A10",O,132159.26,1995-11-20,3-MEDIUM,Clerk#000000004,0,ironic foxes must haggle blithely
3580034,"A10",F,229817.03,1992-07-09,4-NOT SPECIFIED,Clerk#000000118,0," slyly pending accounts after the sly"
895172,"A10",O,236806.93,1995-12-04,1-URGENT,Clerk#000000673,0,cajole quickly slyly exp
3354726,"A10",O,158148.30,1998-01-10,3-MEDIUM,Clerk#000000427,0,ggle blithely ironic notornis. carefully bold deposits use iro
3487745,"A10",O,193145.38,1996-09-26,1-URGENT,Clerk#000000230,0,uctions. pending dependencies can boost regular attainments--
859108,"A10",O,135312.87,1996-02-20,3-MEDIUM,Clerk#000000573,0," pinto beans. final, unusual deposits use. final"
2917345,"A10",O,52546.37,1995-10-01,4-NOT SPECIFIED,Clerk#000000983,0,ly regular accounts. special packages haggle furio
816323,"A10",O,249097.39,1996-01-23,5-LOW,Clerk#000000693,0,ts boost furiously pinto beans. regular deposits nag among the express
36422,"A10",O,287837.16,1997-03-04,3-MEDIUM,Clerk#000000532,0,"e evenly final dependencies. regular, bold pinto beans "
306439,"A11",O,281477.00,1997-05-17,2-HIGH,Clerk#000000794,0," of the bold packages. final waters detect sly"
2420194,"A11",O,83996.01,1996-04-17,1-URGENT,Clerk#000000855,0,lithely special packages. quickly
3154370,"A11",F,69607.13,1993-06-02,5-LOW,Clerk#000000020,0,y busy requests wake quickly t
212870,"A11",O,171711.48,1996-10-30,5-LOW,Clerk#000000637,0," fluffily final dolphins. unusual pinto beans use blithely regular ideas"
2290245,"A11",O,251492.10,1996-12-07,3-MEDIUM,Clerk#000000959,0,cajole final deposits. pending deposits cajole s
5885190,"A11",F,125285.43,1995-02-16,1-URGENT,Clerk#000000865,0,side of the slyly ruthless deposits. quickly regular instructions wake
3783492,"A11",O,198540.63,1996-02-14,2-HIGH,Clerk#000000752,0," unusual platelets use. carefully final instructions sleep fluffily e"
5692738,"A11",F,143292.53,1992-06-20,4-NOT SPECIFIED,Clerk#000000113,0,ve the blithely ironic foxes. express requests according
2073893,"A11",F,184662.35,1993-11-20,1-URGENT,Clerk#000000701,0,eodolites are furiously along the sl
1406820,"A11",O,201295.40,1996-02-24,5-LOW,Clerk#000000763,0,dolites. slyly express asymptotes affix slyly final ideas. account
4204384,"A11",F,232311.12,1993-09-27,4-NOT SPECIFIED,Clerk#000000205,0,c packages. blithely even dependencies nag carefully about the furiously pendi
4569348,"A11",O,261496.99,1998-02-19,4-NOT SPECIFIED,Clerk#000000299,0,s are blithely slyly final accounts. blithely idle decoys sl
835173,"A11",F,198998.83,1993-08-18,2-HIGH,Clerk#000000031,0,requests. packages across the blithely ironic instructions haggle carefully a
5366593,"A13",F,57760.60,1993-06-13,3-MEDIUM,Clerk#000000398,0,even platelets nag slyly against the
